group,mean_exposure,educ_yrsm_first,educ_yrsm_last,demand_last,educ_yrsm_cagr,cumulative_educ_yrsm_yoy
Administrative and commercial managers,1.253742970186475,5.451255618532265,5.707013242300569,3958.6626,0.003280357281004953,0.10093396804785615
"Agricultural, forestry and fishery labourers",-1.5142456066346772,0.9872072214984741,3.0538418150454434,57.7969,0.08400503890409117,19.657121103938064
Assemblers,-0.8593871556341274,2.842810028298266,3.3177040291144233,458.2471,0.01109538628944784,1.25174942003175
Building and related trades workers (excluding electricians),-1.2907143748320926,2.975359077166458,3.2093997475190212,11140.1658,0.005423166357877651,0.30342425893088953
Business and administration associate professionals,1.0478081639659278,3.479055523489956,3.223276889730597,5959.567,-0.00543960476114036,-0.02399293903177868
Business and administration professionals,1.293706162215531,5.002989194547254,5.256597390930419,5573.77,0.0035382707295648075,0.08262841954844957
"Chief executives, senior officials and legislators",0.9610230216035534,5.129162903022989,6.433172710623519,611.4951,0.016311994903552174,0.30279987206082437
Customer services clerks,0.6303640354643951,2.4002532960513223,3.182510518297579,1520.9937,0.02035409634750751,0.6664869733778503
Drivers and mobile plant operators,-0.6473029805426307,0.6936877995936422,0.977834808347065,2996.7885,0.024825923591424104,1.734076355483694
Electrical and electronic trades workers,-0.7349496179052712,3.7026529873212906,3.8750789612429353,4479.786,0.0032564660439278192,0.05372174583315448
Food preparation assistants,-1.5850964494043671,0.13187155245176346,0.34707092654617183,500.45860000000005,0.07156638101769408,23.353457389373197
"Food processing, woodworking, garment and other craft and related trades workers",-0.6779829308451333,1.6174091526992627,3.991129186175418,1611.2505,0.06664451972946628,1.2945525427807731
General and keyboard clerks,1.2213061570791275,3.123819959841097,3.2369397800421074,7405.604,0.002544071537128545,0.07928309099638242
Handicraft and printing workers,-0.32556086158275016,3.5314506645414045,3.6946550416242605,689.8496,0.0032322447765973372,0.8164855005882863
Health associate professionals,-0.21068215870004492,3.36732509070697,4.075044204786797,5099.0548,0.013719177878816602,0.3318784143897776
Health professionals,0.2887832058201766,5.1085027678039525,7.256186634810699,10661.8465,0.025384556708291095,0.4362292892714966
"Hospitality, retail and other services managers",0.16352363563212194,1.4859829559554842,3.840391530503952,234.90890000000002,0.07017402422647323,3.439637980904719
Information and communications technicians,0.4995513847055337,5.1059166541492536,4.496092757034426,1075.2398,-0.009043944711419671,-0.03147553717958673
Information and communications technology professionals,1.1943636139008964,6.280796362213248,5.624050682121252,6948.7806,-0.007857865391952101,-0.09524828528551721
"Labourers in mining, construction, manufacturing and transport",-1.3370254996261164,1.1796838786502335,0.21265410397373086,698.311,-0.11518886323129907,2.3552353502773333
"Legal, social and cultural professionals",1.2079945932272302,6.124435485673442,6.768385827860886,3347.0092,0.00716670462560165,0.48676004891679037
"Legal, social, cultural and related associate professionals",0.3598008232852465,4.671414342091406,3.684819816820658,3426.3948,-0.016802961149738116,0.34659494067143226
Market-oriented skilled agricultural workers,-1.1063309154106995,2.6190939466323435,3.1187586429243566,860.9004,0.012549999623255204,0.24832913507405274
"Metal, machinery and related trades workers",-1.0504398253684317,3.7718516598029623,3.8481515769689136,7006.2538,0.0014315154845989664,0.03321312168974022
Numerical and material recording clerks,0.9230494529805006,3.586434406097597,3.4332313795882805,3252.2544000000003,-0.0031134713814616743,0.14426789507091686
Other clerical support workers,0.8912907744771499,1.889745744337033,3.129641122362715,3023.8051,0.03669109689662342,0.7962960098179493
Personal care workers,-0.3070549324017815,1.0491310425420828,1.68623246668269,4594.922,0.034476312646013696,1.9503700743540588
Personal service workers,-0.7577211531984667,1.173054312676365,2.665848369802602,10568.3659,0.06038975488669762,1.0580879187617147
Production and specialised services managers,0.857573033629368,5.9123830703496605,4.856178656355868,3472.7029,-0.013958600631806761,-0.11369816718511261
Protective services workers,-0.251524094174202,0.944042722401235,1.20617345996342,2795.6284,0.0176566953756514,2.1734545875434437
Sales workers,0.033129014706379,1.4349230444027423,2.086807013260622,8845.2163,0.027112748745030224,0.7741736696884197
Science and engineering associate professionals,0.16136436653651046,4.709514899474155,4.217325505924473,14005.1178,-0.007853551883917675,-0.09621234548249391
Science and engineering professionals,1.045776739799056,7.2667114575074425,6.415794631092077,8138.8805,-0.008856334133395372,-0.08579017435956493
Stationary plant and machine operators,-0.9626187364989638,1.0316429936548606,2.666857404174349,792.9497,0.07019315453801767,1.6066333043093879
Teaching professionals,0.876818073832164,6.362952926092548,5.6440350255819265,2831.0222,-0.008527244067193962,0.0274688779719936
