year,occupation_exposure_miss_pct,occupation_exposure_miss_tru2_share,industry_exposure_weighted_miss_pct,industry_exposure_weighted_miss_tru2_share
2010,6.2668298653610774,0.05825124348548506,3.696450428396573,0.03287140872006631
2011,7.216003810431055,0.05588501205646663,3.7389854727316028,0.030578231513520855
2012,8.492119501293812,0.09288009032741204,5.198776758409786,0.04365568236972622
2013,8.75,0.08828674247279795,2.7314814814814814,0.02851480935929898
2014,9.344528710725895,0.08573042322097305,3.304442036836403,0.030583606143468764
2015,8.72265730488793,0.08695254368763644,3.456656764785309,0.030568855990658138
2016,8.189655172413794,0.07530511216643547,2.941176470588235,0.023323291693863255
2017,7.755521314843349,0.07430972088231416,2.7991782229070363,0.02231769860019835
2018,6.188118811881188,0.06080511223671732,2.2029702970297027,0.024850202789324417
2019,7.6113558492413125,0.06926935323610016,0.881057268722467,0.008453208717982089
2020,7.427258805513016,0.06952656659434658,0.4338948443083206,0.003747921162099028
2021,9.318011491381464,0.0980776453050751,0.6245316012990257,0.00438921797791842
2022,10.514372163388805,0.10074672751888618,10.690872415532022,0.1154180623748975
2023,11.449353448275861,0.10192927189306272,12.526939655172415,0.12957868733391362
2024,9.87189148455162,0.08876481212085509,12.207987942727957,0.13772426432757442
