year,occ_mean,ind_mean,occ_high_share,ind_high_share
2010,0.3680687892913968,-0.5134626909172777,0.21986020192229966,0.16139801499099068
2011,0.2870455260554859,-0.5273466200338166,0.183139088768355,0.14060866197759883
2012,0.36233710070120734,-0.5353372831295373,0.16450495452779695,0.20477116742596574
2013,0.282648564000116,-0.563065423179193,0.15379891287439004,0.18609656254068419
2014,0.2590220701459306,-0.5308072125271712,0.16669507084468332,0.2013986553794494
2015,0.23826864061763434,-0.5195742750864772,0.18864021903187056,0.20614356737665163
2016,0.3113598580120118,-0.5645392467192267,0.18568993518071358,0.1614340316997926
2017,0.3082527939361394,-0.5597557129461491,0.18703290297915523,0.16136425166704474
2018,0.3754838158823476,-0.578598136937427,0.19964505627011506,0.1474564018293109
2019,0.284366813926632,-0.5788210977501078,0.194426198450606,0.15780824752607484
2020,0.3113464544971208,-0.5882423604129565,0.1745316456277398,0.16330816290645755
2021,0.295407665943687,-0.5874566266589076,0.18756461910720512,0.1665003266253963
2022,0.40611093113078417,-0.5427345511264089,0.18936910873855514,0.2063582873466904
2023,0.268167311500092,-0.5102956872471645,0.16550222121084862,0.22515702872767404
2024,0.12150406389784492,-0.49901515510572614,0.1440454400714728,0.2529310376242813
